"거래금액","시군구","도로명주소","지번주소","아파트","거래유형","건축년도","전용면적","층","월","일","경도","위도","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","가장 가까운 역","세대수","최고층","세대당주차대수","난방방식","현관구조","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
38900,"대덕구","대덕구 중리북로 46","대전시 대덕구 법동 448","e편한세상대전법동","중개거래",2020,59.9747,17,9,9,"127.424895805379","36.3675270624729",7,80,59,63,8,4,75,2185,"대전복합터미널",1503,29,1.23,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
28100,"대덕구","대덕구 계족로690번길 21","대전시 대덕구 법동 440-4","선비마을1","중개거래",1999,84.89,7,9,12,"127.430115365924","36.372922707094",10,101,42,15,9,4,51,2577,"대전복합터미널",1140,20,1.05,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
17500,"대덕구","대덕구 동춘당로 160","대전시 대덕구 법동 190","삼익소월","중개거래",1993,59.76,9,9,13,"127.434505755522","36.3691053240522",11,149,74,75,10,2,91,2094,"대전복합터미널",810,15,0.63,"개별난방","복도식",2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
31000,"대덕구","대덕구 동춘당로 178","대전시 대덕구 법동 191-1","보람","중개거래",1995,83.25,5,9,15,"127.431090247311","36.3690528127672",9,146,73,97,8,2,103,2139,"대전복합터미널",1735,15,0.99,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
26300,"대덕구","대덕구 계족로690번길 21","대전시 대덕구 법동 440-4","선비마을1","중개거래",1999,84.89,5,9,15,"127.430115365924","36.372922707094",10,101,42,15,9,4,51,2577,"대전복합터미널",1140,20,1.05,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
40000,"대덕구","대덕구 중리북로 46","대전시 대덕구 법동 448","e편한세상대전법동","중개거래",2020,59.9747,16,9,17,"127.424895805379","36.3675270624729",7,80,59,63,8,4,75,2185,"대전복합터미널",1503,29,1.23,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23500,"대덕구","대덕구 동춘당로 160","대전시 대덕구 법동 190","삼익소월","중개거래",1993,84.85,12,9,19,"127.434505755522","36.3691053240522",11,149,74,75,10,2,91,2094,"대전복합터미널",810,15,0.63,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
16800,"대덕구","대덕구 동춘당로 151","대전시 대덕구 법동 195-1","그린타운","중개거래",1993,59.34,3,9,20,"127.435125103984","36.3667876926229",12,188,77,98,10,1,105,1833,"대전복합터미널",1050,15,0.82,"개별난방","복도식",2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
48500,"대덕구","대덕구 중리북로 46","대전시 대덕구 법동 448","e편한세상대전법동","중개거래",2020,84.967,21,9,20,"127.424895805379","36.3675270624729",7,80,59,63,8,4,75,2185,"대전복합터미널",1503,29,1.23,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
20650,"대덕구","대덕구 계족로663번길 32","대전시 대덕구 법동 280-2","삼호","중개거래",1989,77.3,10,9,20,"127.425613457877","36.3728360970227",6,69,41,16,9,4,49,2691,"대전복합터미널",480,15,0.5,"개별난방","계단식",3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
28500,"대덕구","대덕구 동춘당로 151","대전시 대덕구 법동 195-1","그린타운","중개거래",1993,84.93,12,9,21,"127.435125103984","36.3667876926229",12,188,77,98,10,1,105,1833,"대전복합터미널",1050,15,0.82,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
29000,"대덕구","대덕구 동춘당로 178","대전시 대덕구 법동 191-1","보람","중개거래",1995,99.36,1,9,23,"127.431090247311","36.3690528127672",9,146,73,97,8,2,103,2139,"대전복합터미널",1735,15,0.99,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
52800,"대덕구","대덕구 중리북로 46","대전시 대덕구 법동 448","e편한세상대전법동","중개거래",2020,84.9808,10,9,23,"127.424895805379","36.3675270624729",7,80,59,63,8,4,75,2185,"대전복합터미널",1503,29,1.23,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19800,"대덕구","대덕구 계족로690번길 21","대전시 대덕구 법동 440-4","선비마을1","중개거래",1999,59.87,1,9,23,"127.430115365924","36.372922707094",10,101,42,15,9,4,51,2577,"대전복합터미널",1140,20,1.05,"개별난방","계단식",3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
35000,"대덕구","대덕구 동춘당로 178","대전시 대덕구 법동 191-1","보람","중개거래",1995,98.87,9,9,27,"127.431090247311","36.3690528127672",9,146,73,97,8,2,103,2139,"대전복합터미널",1735,15,0.99,"개별난방","계단식",4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
8000,"대덕구","대덕구 중리서로 31","대전시 대덕구 중리동 274-1","영진로얄","직거래",1989,35.85,7,9,13,"127.420617381916","36.3623436138654",8,57,33,55,3,5,78,1969,"대전복합터미널",750,15,0.46,"개별난방","복도식",2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
12600,"대덕구","대덕구 중리서로 31","대전시 대덕구 중리동 274-1","영진로얄","중개거래",1989,54.225,5,9,18,"127.420617381916","36.3623436138654",8,57,33,55,3,5,78,1969,"대전복합터미널",750,15,0.46,"개별난방","복도식",2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
17500,"대덕구","대덕구 계족로521번길 79","대전시 대덕구 중리동 250-3","영진상록","중개거래",1993,83.99,3,9,26,"127.428421853726","36.3580393730791",8,74,40,120,3,7,145,1137,"대전복합터미널",104,9,0.67,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
16000,"대덕구","대덕구 신상로 21","대전시 대덕구 비래동 18-21","둥지","중개거래",1994,59.4,15,9,4,"127.455820897757","36.3558149217415",5,50,21,30,2,3,50,1817,"대전복합터미널",425,17,0.68,"개별난방","계단식",3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
27000,"대덕구","대덕구 신상로 21","대전시 대덕구 비래동 18-21","둥지","중개거래",1994,84.9,11,9,5,"127.455820897757","36.3558149217415",5,50,21,30,2,3,50,1817,"대전복합터미널",425,17,0.68,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30000,"대덕구","대덕구 비래서로10번길 21","대전시 대덕구 비래동 509-1","비래휴플러스","중개거래",2006,84.9097,1,9,9,"127.446325549911","36.3546418446966",7,81,38,58,6,6,133,984,"대전복합터미널",646,25,1.09,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30000,"대덕구","대덕구 비래서로10번길 21","대전시 대덕구 비래동 509-1","비래휴플러스","중개거래",2006,84.9881,20,9,15,"127.446325549911","36.3546418446966",7,81,38,58,6,6,133,984,"대전복합터미널",646,25,1.09,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
38000,"대덕구","대덕구 비래서로10번길 21","대전시 대덕구 비래동 509-1","비래휴플러스","직거래",2006,84.9097,6,9,18,"127.446325549911","36.3546418446966",7,81,38,58,6,6,133,984,"대전복합터미널",646,25,1.09,"개별난방","계단식",3,2,1,0,0,0,0,0,1,1,0,0,1,0,0
18300,"대덕구","대덕구 우암로 394","대전시 대덕구 비래동 47-1","비래동현대아파트","중개거래",1986,84.84,1,9,23,"127.45511493558","36.3537755575973",6,57,24,32,4,3,57,1692,"대전복합터미널",370,15,0.7,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
18000,"대덕구","대덕구 석봉북로12번길 3","대전시 대덕구 석봉동 191-23","금원푸른솔","중개거래",2006,84.83,2,9,1,"127.425080576507","36.44855085418",6,71,41,54,3,1,85,10950,"대전복합터미널",19,8,1.05,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
33800,"대덕구","대덕구 대덕대로 1555","대전시 대덕구 석봉동 770","금강엑슬루타워","중개거래",2012,84.956,29,9,1,"127.420343092106","36.4514649456114",5,61,41,40,4,0,63,11257,"갈마역",2312,50,1.61,"지역난방","계단식",3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
30000,"대덕구","대덕구 대덕대로1585번길 44","대전시 대덕구 석봉동 787","금강센트럴파크서희스타힐스","중개거래",2020,59.9983,21,9,2,"127.42533095965","36.4537958751814",5,70,36,45,2,0,70,11527,"대전복합터미널",835,33,1.2,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
36000,"대덕구","대덕구 대덕대로1585번길 44","대전시 대덕구 석봉동 787","금강센트럴파크서희스타힐스","중개거래",2020,84.9908,2,9,2,"127.42533095965","36.4537958751814",5,70,36,45,2,0,70,11527,"대전복합터미널",835,33,1.2,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
