"거래금액","건축년도","전용면적","층","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","세대수","최고층","세대당주차대수","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
17250,1999,59.96,9,5,44,8,8,3,1,23,10697,456,15,1.06,3,1,1,0,0,0,0,1,0,0,0,1,1,0,0
11500,1993,49.86,14,5,43,10,8,3,1,24,10556,900,15,0.44,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0
10500,1993,49.86,1,5,43,10,8,3,1,24,10556,900,15,0.44,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0
9500,1996,49.86,6,1,13,3,5,3,1,13,10163,150,10,0.6,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
7000,1998,41.87,14,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
24500,2000,105.81,17,4,38,28,37,3,1,61,10174,292,25,1.03,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
6400,1998,41.87,3,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
21900,2000,84.69,12,4,38,28,37,3,1,61,10174,292,25,1.03,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
7300,1998,41.87,15,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
6900,1998,41.87,5,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
6230,1998,34.58,2,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
5800,1998,34.58,8,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
6800,1998,41.87,8,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
10200,1996,59.586,5,2,11,3,13,2,1,22,9389,49,9,0.55,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
11900,1996,59.586,8,2,11,3,13,2,1,22,9389,49,9,0.55,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
